StreetA,OddA1,OddA2,EvA1,EvA2,WardA,SubwardA,StreetB,OddbB,OddB2,EvB1,EvB2,WardB,SubwardB
RATHBURN RD,,,452,464.0,2.0,48.0,REDBIRD GT,5.0,5.0,6,6,22.0,19.0
RATHBURN RD,,,480,480.0,2.0,51.0,REDBUD CRES,1.0,45.0,2,44,23.0,50.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
REDCAR AVE,5,59.0,2.0,66,3.0,23.0,RELROY CRT,,,4.0,38,22.0,7.0
REDCASTLE CRES,3,41.0,2.0,42,22.0,46.0,REMEMBRANCE DR,,,300.0,300,10.0,59.0
REDCLIFF BLVD,1,11.0,2.0,6,1.0,48.0,REMINGTON DR,3,33,2.0,40,2.0,42.0
REDDICK CRT,1,17.0,2.0,12,8.0,45.0,REMORA ROYALWAY,1,5,,,17.0,11.0
REDDINS RD,1,17.0,2.0,16,21.0,2.0,RENATA ROYALWAY,11,29,2.0,50,17.0,11.0
REDFERN AVE,3,21.0,2.0,16,6.0,46.0,RENAULT CRES,3,157,2.0,106,2.0,18.0
REDGRAVE DR,15,169.0,20.0,216,1.0,57.0,RENFIELD ST,29,85,28.0,92,5.0,27.0
REDHEAD CRES,23,69.0,6.0,56,23.0,18.0,RENFORTH DR,205,283,188.0,272,2.0,72.0
REDHEUGH CRES,3,101.0,4.0,104,22.0,11.0,RENFORTH DR,291,339,274.0,342,2.0,73.0
REDHILL AVE,7,25.0,2.0,6,9.0,1.0,RENFORTH DR,341,347,,,2.0,72.0
REDLAND CRES E,5,9.0,2.0,10,20.0,31.0,RENFORTH DR,351,425,358.0,426,2.0,54.0
REDLAND CRES W,1,11.0,2.0,6,20.0,31.0,RENFORTH DR,433,475,430.0,460,2.0,51.0
REDLEA AVE,39,53.0,46.0,62,22.0,4.0,RENFORTH DR,483,571,500.0,596,2.0,48.0
REDMOUNT RD,5,37.0,2.0,36,6.0,33.0,RENFORTH DR,,,630.0,730X,2.0,49.0
REDNOR RD,1,35.0,2.0,34,19.0,17.0,RENFORTH DR,715,741,,,2.0,29.0
REDPATH AVE                   55      55         40      56         12   024          RENFORTH DR                                          1000X1500     01   035,,,,,,,,,,,,,
REDPATH AVE,71,125.0,68.0,108,12.0,22.0,RENNIE TER,1,1R,2.0,18,4.0,42.0
REDPATH AVE,133,155.0,130.0,150,12.0,18.0,RENO DR,3,39,20.0,38,21.0,51.0
REDPATH AVE,177,197.0,168.0,198,12.0,19.0,RENOAK DR,1,23,2.0,24,6.0,5.0
REDPATH AVE,223,241.0,220.0,278,15.0,27.0,RENOVA DR,3,27,4.0,42,2.0,54.0
REDSTONE PATH,1,37.0,2.0,34,2.0,52.0,RENOWN RD,35X,67,28.0,68,3.0,9.0
REDTHORN CRT,1,5.0,2.0,6,2.0,51.0,RENSBURG DR,1,51,2.0,32,21.0,51.0
REDWATER DR,7,31.0,2.0,22,1.0,41.0,RENSHAW ST,19,25,20.0,32,6.0,41.0
REDWATER DR,33,169.0,24.0,136,1.0,48.0,RENWICK CRES,1,33,,,14.0,50.0
REDWAY RD,7,35.0,8.0,8,15.0,53.0,REPLIN RD,1,5,2.0,6,8.0,14.0
REDWILLOW DR,5,29.0,6.0,30,16.0,19.0,REPLIN RD,21,25,,,8.0,28.0
REDWILLOW DR,47,51.0,46.0,48,16.0,20.0,RESEARCH RD,31,95,20.0,60,15.0,50.0
REDWING PL,1,29.0,6.0,20,16.0,29.0,RESOLUTION CRES,3,45,6.0,50,17.0,12.0
REDWOOD AVE,5,109.0,6.0,106,14.0,40.0,RESOURCES RD,15,125,,,1.0,52.0
REES ST,3,25.0,,,10.0,67.0,RESTEVER GT,3,21,4.0,22,1.0,41.0
REES ST,,,28.0,32,10.0,59.0,RESTWELL CRES,1,31,2.0,40,17.0,19.0
REESOR RD,1X,7451.0,4.0,24X,25.0,10.0,RESURRECTION RD,1,3,,,3.0,16.0
REEVE AVE,,,40.0,40,20.0,32.0,RESURRECTION RD,5,5,,,3.0,17.0
REGAL RD,3,17.0,2.0,8,9.0,7.0,RESURRECTION RD,,,50.0,148,3.0,16.0
REGAL RD,21,95.0,26.0,94,9.0,10.0,REUBEN AVE,15,33,12.0,44,7.0,59.0
REGATTA CRES,1,81.0,2.0,80,18.0,4.0,REVCOE DR,15,29,6.0,48,18.0,15.0
REGATTA RD,,,2.0,16,14.0,51.0,REVERE PL,1,7,2.0,6,3.0,24.0
REGENCY SQ,1,81.0,2.0,88,24.0,42.0,REVLIS CRES,1,85,8.0,82,22.0,29.0
REGENT PARK BLVD,55,81.0,50.0,50,13.0,63.0,REX GT,1,21,2.0,14,1.0,37.0
REGENT RD,7,183.0,10.0,182,6.0,38.0,REXDALE BLVD,21,75,2.0,70,1.0,49.0
REGENT ST,1,75.0,10.0,70,5.0,42.0,REXDALE BLVD,103,129,96.0,110,1.0,48.0
REGENT ST,17,107.0,20.0,106,13.0,63.0,REXDALE BLVD,135,285,130.0,276,1.0,37.0
REGENT ST,103,119.0,106.0,118,5.0,41.0,REXDALE BLVD,291,445,288.0,370,1.0,35.0
REGINA AVE,13,171.0,8.0,178,8.0,13.0,REXDALE BLVD,535,555,500.0,600,1.0,34.0
REGIS DR,1,29.0,2.0,28,18.0,12.0,REXDALE BLVD,,,670.0,680,1.0,32.0
REIBER CRES,1,71.0,4.0,62,17.0,14.0,REXFORD RD,1,25,2.0,40,4.0,5.0
REID MANOR,1,65.0,6.0,60,3.0,29.0,REXLEIGH DR,81,193,102.0,190,19.0,10.0
REIDMOUNT AVE,1,97.0,6.0,96,22.0,41.0,REXLEIGH DR,195,221,194.0,200,19.0,4.0
REIGATE RD,3,15.0,2.0,32,2.0,39.0,REXTON RD,1,1,2.0,2,2.0,73.0
REIGATE RD,25,25.0,,,2.0,41.0,REXTON RD,3,33,4.0,32,2.0,72.0
REINDEER DR,3,61.0,4.0,64,25.0,18.0,REYNOLDS ST,7,7,,,11.0,23.0
REINER RD,19,53.0,18.0,52,6.0,28.0,RHINESTONE DR,1,69,2.0,48,2.0,47.0
REINER RD,63,127.0,64.0,120,6.0,31.0,RHODES AVE,3,93,2.0,94,14.0,43.0
REINER RD,151,187.0,,,6.0,32.0,RHODES AVE,109,281,106.0,268,14.0,42.0
REINER RD,193,279.0,160.0,280,6.0,25.0,RHODES AVE,283,483,274.0,482,14.0,41.0
RELMAR GDNS,1,9.0,,,12.0,47.0,RHODES AVE,583,737,588.0,772,14.0,26.0
RELMAR GDNS,15,15.0,,,12.0,10.0,RHYDWEN AVE,1,61,2.0,68,20.0,59.0
RELMAR RD,5,23.0,6.0,22,12.0,47.0,RHYL AVE,1,13,2.0,38,19.0,53.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
RHYL AVE,17.0,25,40,58,19.0,55.0,RIDELLE AVE,,,370.0,370.0,8.0,55.0
RIALTO DR,1.0,35,,,16.0,18.0,RIDELLE AVE,377.0,377.0,,,8.0,53.0
RIALTO DR,,,2,14,16.0,19.0,RIDELLE AVE,397.0,493.0,400.0,492.0,8.0,50.0
RIALTO DR,,,22,34,16.0,18.0,RIDELLE AVE,519.0,605.0,522.0,606.0,8.0,47.0
RIANT ST,3.0,21,2,16,20.0,22.0,RIDERWOOD DR,1.0,61.0,6.0,34.0,15.0,5.0
RICARDO RD,11.0,17,,,5.0,11.0,RIDGE DR,5.0,115.0,2.0,120.0,11.0,27.0
RICHARD AVE,1.0,45,4,52,14.0,42.0,RIDGE DRIVE PK,1.0,9.0,6.0,12.0,11.0,27.0
RICHARD CLARK DR,143.0,143,,,6.0,43.0,RIDGE HILL DR,3.0,99.0,8.0,100.0,8.0,57.0
RICHARD CLARK DR,147.0,265,146,172,6.0,46.0,RIDGE POINT CRES,1.0,65.0,2.0,66.0,5.0,31.0
RICHARD CLARK DR,,,178,192,6.0,43.0,RIDGE RD,25.0,85.0,36.0,86.0,6.0,44.0
RICHARD CLARK DR,,,194,276,6.0,46.0,RIDGECREST DR,1.0,81.0,2.0,72.0,22.0,38.0
RICHARDSON AVE,1.0,27,2,16,5.0,40.0,RIDGECROSS RD,1.0,3.0,4.0,8.0,2.0,32.0
RICHARDSON AVE,37.0,115,46,114,5.0,39.0,RIDGEFIELD RD,1.0,9.0,2.0,16.0,15.0,22.0
RICHARDSON ST,21.0,21,8,26,10.0,90.0,RIDGEGATE CRES,1.0,29.0,2.0,8.0,3.0,29.0
RICHBOURNE CRT,3.0,63,2,62,22.0,46.0,RIDGEHAMPTON CRT,1.0,9.0,2.0,8.0,3.0,26.0
RICHDALE CRT,3.0,23,4,22,2.0,30.0,RIDGEMOOR AVE,11.0,49.0,2.0,28.0,20.0,37.0
RICHELIEU RD,11.0,15,22,28,6.0,33.0,RIDGEMOUNT RD,1.0,99.0,4.0,84.0,2.0,18.0
RICHGROVE DR,,,2,46,1.0,57.0,RIDGETOP RD,71.0,115.0,40.0,110.0,21.0,3.0
RICHGROVE DR,5.0,35,,,1.0,59.0,RIDGEVALE DR,9.0,65.0,2.0,42.0,8.0,30.0
RICHLAND CRES,3.0,139,4,70,2.0,48.0,RIDGEVALE DR,75.0,83.0,46.0,92.0,8.0,14.0
RICHLEA CRCL,,,2,10,15.0,34.0,RIDGEVALLEY CRES,1.0,33.0,2.0,58.0,2.0,32.0
RICHMOND PARK BLVD,5.0,147,2,142,23.0,18.0,RIDGEWOOD RD,1.0,21.0,,,12.0,10.0
RICHMOND ST E,,,4,70,13.0,72.0,RIDGEWOOD RD,1.0,325.0,,,25.0,29.0
RICHMOND ST E,15.0,59,,,13.0,74.0,RIDGEWOOD RD,,,2.0,24.0,12.0,10.0
RICHMOND ST E,65.0,117,74,128,13.0,75.0,RIDGEWOOD RD,,,104.0,308.0,25.0,29.0
RICHMOND ST E,155.0,167,,,13.0,70.0,RIDLEY BLVD,17.0,133.0,2.0,136.0,8.0,4.0
RICHMOND ST E,187.0,191,,,13.0,77.0,RIDLEY BLVD,143.0,233.0,142.0,224.0,8.0,5.0
RICHMOND ST E,231.0,313,190,412,13.0,70.0,RIDLEY BLVD,265.0,271.0,262.0,268.0,8.0,1.0
RICHMOND ST E,323.0,323,,,13.0,27.0,RIDLEY BLVD,297.0,359.0,298.0,360.0,6.0,34.0
RICHMOND ST E,381.0,529,442,526,13.0,79.0,RIDLEY GDNS,1.0,37.0,4.0,38.0,4.0,55.0
RICHMOND ST E,,,548,548,13.0,80.0,RIDOUT ST,5.0,35.0,2.0,36.0,4.0,17.0
RICHMOND ST W,1.0,37,,,13.0,74.0,RIDWARE CRES,3.0,73.0,4.0,70.0,25.0,41.0
RICHMOND ST W,65.0,195,78,260,10.0,27.0,RIMA CRT,1.0,23.0,2.0,28.0,2.0,48.0
RICHMOND ST W,199.0,199,,,10.0,26.0,RIMILTON AVE,281.0,495.0,270.0,454.0,3.0,82.0
RICHMOND ST W,201.0,241,,,10.0,27.0,RIMILTON AVE,,,458.0,496.0,3.0,84.0
RICHMOND ST W,259.0,409A,280,316,10.0,28.0,RIMROCK RD,199.0,369.0,150.0,340.0,6.0,20.0
RICHMOND ST W,,,318,318,10.0,32.0,RINGLEY AVE,27.0,73.0,28.0,72.0,3.0,31.0
RICHMOND ST W,,,320,414,10.0,28.0,RINGWAY CRES,1.0,39.0,4.0,80.0,1.0,51.0
RICHMOND ST W,423.0,591,426,626,10.0,38.0,RINGWOOD CRES,3.0,33.0,18.0,30.0,17.0,63.0
RICHMOND ST W,621.0,775,636,774,10.0,43.0,RINTELLA CRT,,,4.0,34.0,21.0,39.0
RICHMOND ST W,777.0,871,798,866,10.0,12.0,RIPLEY AVE,1.0,1.0,,,4.0,47.0
RICHOME CRT,,,6,50,21.0,51.0,RIPLEY AVE,25.0,45.0,2.0,28.0,4.0,42.0
RICHVIEW AVE,101.0,225,100,298,12.0,10.0,RIPON RD,1.0,15.0,12.0,18.0,19.0,9.0
RICHVIEW AVE,301.0,427,302,430,12.0,11.0,RIPPLETON RD,,,16.0,28.0,15.0,13.0
RICHVIEW RD,1.0,1B,,,2.0,12.0,RIPPLETON RD,21.0,41.0,34.0,52.0,15.0,14.0
RICHVIEW RD,25.0,45X,12X,58X,2.0,15.0,RIPPLEWOOD RD,11.0,11.0,8.0,16.0,2.0,40.0
RICHVIEW RD,,,60,60,2.0,14.0,RISA BLVD,1.0,39.0,4.0,46.0,8.0,47.0
RICHVIEW RD,61.0,61,,,2.0,13.0,RISDON CRT,3.0,43.0,4.0,72.0,2.0,29.0
RICHWOOD ST,1.0,51,,,5.0,25.0,RISEBROUGH AVE,5.0,95.0,2.0,108.0,18.0,15.0
RICHWOOD ST,,,6,38,5.0,23.0,RITA DR,13.0,51.0,16.0,50.0,7.0,51.0
RICKLAN DR,1.0,7,2,8,7.0,49.0,RITCHIE AVE,5.0,105.0,12.0,104.0,4.0,16.0
RICKSHAW AVE,1.0,3,2,4,2.0,79.0,RITZ GARDEN CRT,3.0,3.0,4.0,14.0,25.0,40.0
RIDEAU AVE,1.0,17,,,4.0,58.0,RIVALDA RD,39.0,163.0,12.0,160.0,7.0,48.0
RIDEAU AVE,,,2,20,4.0,52.0,RIVENDELL TRL,3.0,69.0,4.0,70.0,23.0,17.0
RIDEAU RD,,,10,10,7.0,13.0,RIVER GROVE DR,3.0,113.0,4.0,104.0,22.0,3.0
RIDELLE AVE,7.0,85,2,110,8.0,57.0,RIVER ST,11.0,125.0,10.0,72.0,13.0,66.0
RIDELLE AVE,111.0,111,128R,348,8.0,50.0,RIVER ST,,,80.0,206.0,13.0,63.0
RIDELLE AVE,,,360,360,8.0,56.0,RIVER ST,131.0,177.0,,,13.0,65.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
RIVER ST,203,229.0,212,250,13.0,29.0,ROBINWOOD AVE,1.0,25.0,,,12.0,10.0
RIVER VALLEY CRES,7,15.0,4,12,3.0,30.0,ROBINWOOD AVE,,,2.0,18,12.0,11.0
RIVERBANK DR,5X,45.0,14,30,2.0,41.0,ROBLIN AVE,1.0,53.0,2.0,56,19.0,18.0
RIVERCOURT BLVD,1,13.0,2,14,14.0,4.0,ROBLOCKE AVE,3.0,37.0,4.0,54,11.0,2.0
RIVERCOURT BLVD,15,73.0,16,66,14.0,1.0,ROBSON PL,5.0,17.0,2.0,18,18.0,25.0
RIVERCOVE DR,19,67.0,48,60,2.0,43.0,ROCHDALE AVE,1.0,37.0,2.0,34,9.0,2.0
RIVERCREST RD,3,109.0,6,112,4.0,39.0,ROCHEFORT DR,7.0,21.0,10.0,52,16.0,52.0
RIVERDALE AVE,1,229.0,,,14.0,33.0,ROCHELLE CRES,1.0,39.0,2.0,38,17.0,44.0
RIVERDALE AVE,,,2,228,14.0,30.0,ROCHESTER AVE,1.0,87.0,18.0,66,15.0,21.0
RIVERDALE AVE,243,359.0,240,358,14.0,37.0,ROCHESTER AVE,103.0,145.0,,,15.0,22.0
RIVERDALE DR,1,91.0,2X,96,1.0,18.0,ROCHESTER AVE,151.0,157.0,116.0,164,15.0,17.0
RIVERHEAD DR,5,145.0,6,122,1.0,40.0,ROCHMAN BLVD,21.0,155.0,2.0,146,24.0,22.0
RIVERLEA DR,1,43.0,2,38,2.0,8.0,ROCK FERNWAY,1.0,135.0,2.0,136,17.0,39.0
RIVERLEA RD,1,15.0,2,10,2.0,8.0,ROCK MOSSWAY,25.0,37.0,2.0,54,17.0,6.0
RIVERS EDGE DR,21,71.0,42,52,5.0,50.0,ROCKAWAY CRES,1.0,5.0,2.0,4,20.0,66.0
RIVERSIDE CRES,3,43.0,8,30,4.0,42.0,ROCKBANK CRES,1.0,61.0,2.0,60,7.0,59.0
RIVERSIDE DR,7,101.0,2,120,7.0,1.0,ROCKCASTLE DR,3.0,31.0,2.0,34,2.0,3.0
RIVERSIDE DR,157,281.0,150,320,4.0,42.0,ROCKCLIFFE BLVD,1.0,101.0,2.0,78,5.0,63.0
RIVERSIDE DR,283,309.0,322,336,4.0,40.0,ROCKCLIFFE BLVD,,,100.0,400,5.0,62.0
RIVERSIDE DR,495,517.0,490,520,4.0,39.0,ROCKCLIFFE BLVD,301.0,305.0,,,5.0,66.0
RIVERSIDE TRL,1,21.0,4,8,4.0,42.0,ROCKCLIFFE CRT,,,20.0,240,5.0,66.0
RIVERSTONE DR,3,15.0,2,12,2.0,8.0,ROCKELM RD,1.0,43.0,2.0,22,20.0,2.0
RIVERTON DR,1,65.0,6,66,7.0,1.0,ROCKFIELD DR,1.0,17.0,4.0,16,2.0,65.0
RIVERVIEW DR,15,345.0,12,346,15.0,11.0,ROCKFORD RD,,,12.0,120,6.0,5.0
RIVERVIEW GDNS,1,105.0,16,76,4.0,39.0,ROCKFORD RD,15.0,121.0,,,6.0,7.0
RIVERVIEW HTS,17,67.0,26,72,1.0,52.0,ROCKINGHAM DR,1.0,51.0,2.0,50,2.0,42.0
RIVERWOOD PKWY,25,109.0,10,108,3.0,30.0,ROCKLAND DR,1.0,51.0,2.0,50,17.0,2.0
RIVERWOOD PKWY,115,115.0,112,112,3.0,29.0,ROCKPORT DR,5.0,45.0,6.0,38,25.0,32.0
RIVIERA DR,1,17.0,2,14,20.0,37.0,ROCKVALE AVE,1.0,45.0,2.0,46,12.0,5.0
RIVITT PL,3,65.0,2,38,23.0,17.0,ROCKWELL AVE,1.0,11.0,,,9.0,14.0
ROANOKE RD,7,99.0,8,66,16.0,19.0,ROCKWELL AVE,17.0,125.0,2.0,134,9.0,13.0
ROANOKE RD,,,76,100,16.0,18.0,ROCKWOOD DR,1.0,91.0,,,20.0,26.0
ROBALDON RD,3,43.0,4,32,2.0,33.0,ROCKWOOD DR,,,2.0,92,20.0,27.0
ROBBIE AVE,7,31.0,12,38,6.0,33.0,RODARICK DR,3.0,33.0,2.0,38,25.0,33.0
ROBBINS AVE,29,99.0,32,96A,19.0,50.0,RODDA BLVD,21.0,157.0,10.0,160,24.0,38.0
ROBBINSTONE DR,3,165.0,2,178,23.0,41.0,RODEN PL,,,10.0,30,11.0,22.0
ROBERT HICKS DR,1,269.0,2,262,6.0,15.0,RODEO CRT,1.0,31.0,2.0,32,18.0,25.0
ROBERT ST,1,127.0,,,11.0,57.0,RODEO PTWY,1.0,43.0,2.0,46,20.0,61.0
ROBERT ST,,,2,80,5.0,3.0,RODING ST,551.0,641.0,,,6.0,42.0
ROBERT ST,,,2,180,11.0,57.0,RODING ST,663.0,669.0,600.0,666,6.0,43.0
ROBERT ST,11,75.0,,,5.0,3.0,RODNEY BLVD,1.0,23.0,2.0,28,18.0,49.0
ROBERT ST,137,171.0,196,320,11.0,55.0,ROE AVE,1.0,93.0,2.0,100,8.0,4.0
ROBERTA DR,9,101.0,6,106,8.0,30.0,ROE AVE,145.0,195.0,146.0,196,8.0,5.0
ROBERTSFIELD CRES,11,53.0,2,64,21.0,26.0,ROE AVE,213.0,221.0,216.0,220,8.0,36.0
ROBERTSON CRES,31,31.0,,,10.0,67.0,ROEBUCK DR,35.0,89.0,22.0,102,20.0,7.0
ROBIN HOOD RD,3,57.0,6,54,2.0,41.0,ROEBUCK DR,101.0,147.0,104.0,146,20.0,10.0
ROBINA AVE,1,53.0,22,52,9.0,7.0,ROEHAMPTON AVE,5.0,251.0,,,12.0,18.0
ROBINA AVE,55,179.0,54,176,9.0,6.0,ROEHAMPTON AVE,,,30.0,30,12.0,20.0
ROBINA AVE,203,329.0,206,336,12.0,53.0,ROEHAMPTON AVE,,,70.0,70,12.0,21.0
ROBINDALE AVE,1,45.0,2,34,3.0,82.0,ROEHAMPTON AVE,,,100.0,250,12.0,19.0
ROBINGLADE DR,3,81.0,6,56,2.0,44.0,ROEHAMPTON AVE,299.0,609.0,350.0,592B,15.0,29.0
ROBINGROVE RD,1,69.0,16,70,6.0,7.0,ROGATE PL,5.0,25.0,20.0,24,24.0,53.0
ROBINSON AVE,7,39.0,2,38,20.0,57.0,ROGERS RD,,,2.0,20,12.0,5.0
ROBINSON AVE,45,115.0,50,126,20.0,56.0,ROGERS RD,3.0,67.0,,,9.0,6.0
ROBINSON ST,5,21.0,2,80,10.0,14.0,ROGERS RD,,,26.0,84,12.0,4.0
ROBINSON ST,23,121.0,84,124,10.0,13.0,ROGERS RD,79.0,131.0,,,9.0,8.0
ROBINTER DR,3,49.0,2,48,18.0,13.0,ROGERS RD,,,100.0,200,9.0,2.0
ROBINTIDE CRT,,,4,46,22.0,46.0,ROGERS RD,165.0,189.0,,,9.0,9.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
MORTIMER AVE,,,494.0,550,14.0,7.0,MOUNTNOEL AVE,3.0,29.0,6.0,32,14.0,27.0
MORTIMER AVE,571,619,596.0,618,19.0,19.0,MOUNTSTEPHEN ST,19.0,25.0,22.0,34,14.0,32.0
MORTIMER AVE,,,630.0,704,19.0,17.0,MOUNTVIEW AVE,9.0,99.0,2.0,36,4.0,19.0
MORTIMER AVE,631,707,,,19.0,24.0,MOUNTVIEW AVE,,,60.0,60,4.0,20.0
MORTON RD,1,55,,,19.0,38.0,MOUNTVIEW AVE,,,102.0,108,4.0,19.0
MORTON RD,,,10.0,68,19.0,25.0,MOURNING DOVE CRES,11.0,101.0,2.0,98,25.0,8.0
MORTON SHULMAN AVE,25,25,,,6.0,44.0,MOUTRAY ST,7.0,71.0,2.0,70,9.0,40.0
MOSEDALE CRES,3,93,10.0,94,17.0,27.0,MOUTRAY ST,85.0,91.0,,,9.0,41.0
MOSELLE DR,3,45,4.0,24,1.0,1.0,MOWAT AVE,35.0,87.0,10.0,96,10.0,8.0
MOSLEY ST,,,18.0,36,14.0,48.0,MOYLES CRT,3.0,11.0,2.0,10,2.0,51.0
MOSQUE CRES,1,37,2.0,24,1.0,23.0,MOYNES AVE,7.0,49.0,8.0,50,3.0,32.0
MOSS ST,1,3,2.0,4,25.0,53.0,MOZART AVE,1.0,49.0,4.0,50,21.0,51.0
MOSSBANK DR,1,119,2.0,116,24.0,33.0,MUGGS ISLAND PK,1.0,1.0,2.0,2,10.0,95.0
MOSSBROOK CRES,1,111,2.0,116,22.0,8.0,MUIR AVE,1.0,79.0,,,9.0,39.0
MOSSFORD CRT,1,19,2.0,18,2.0,31.0,MUIR AVE,,,2.0,12,7.0,2.0
MOSSGROVE TRL,1,149,2.0,148,15.0,5.0,MUIR AVE,,,2.0,98,9.0,39.0
MOSSOM PL,1,11,2.0,10,4.0,42.0,MUIR AVE,3.0,9.0,,,7.0,2.0
MOSSOM RD,3,27,12.0,22,4.0,40.0,MUIR AVE,23.0,51.0,20.0,58,7.0,1.0
MOSSWOOD LANE,1,15,4.0,10,1.0,24.0,MUIR DR,5.0,91.0,2.0,48,24.0,54.0
MOULD AVE,1,69,2.0,68,5.0,59.0,MUIRBANK BLVD,1.0,69.0,12.0,78,25.0,39.0
MOUNT DENNIS DR,21,57,22.0,58,5.0,50.0,MUIRCREST DR,15.0,47.0,12.0,48,16.0,18.0
MOUNT OLIVE DR,1,99,,,1.0,12.0,MUIRDALE AVE,1.0,33.0,4.0,24,2.0,3.0
MOUNT OLIVE DR,107,193,64.0,198,1.0,6.0,MUIRHEAD RD,,,10.0,10,17.0,45.0
MOUNT OLIVE DR,197X,197X,202.0,220,1.0,2.0,MUIRHEAD RD,25.0,107.0,40.0,128,17.0,46.0
MOUNT PLEASANT RD,1,1,,,13.0,20.0,MUIRKIRK RD,3.0,11.0,6.0,12,18.0,27.0
MOUNT PLEASANT RD,,,40.0,40,11.0,23.0,MUIRLANDS DR,1.0,89.0,2.0,36,23.0,15.0
MOUNT PLEASANT RD,,,110.0,220,11.0,24.0,MUIRLANDS DR,,,40.0,108,23.0,14.0
MOUNT PLEASANT RD,125,129,,,11.0,30.0,MULBERRY CRES,1.0,15.0,2.0,20,12.0,53.0
MOUNT PLEASANT RD,185,185,,,11.0,29.0,MULDREW AVE,3.0,39.0,8.0,28,21.0,52.0
MOUNT PLEASANT RD,,,240.0,368,11.0,26.0,MULGROVE DR,3.0,69.0,4.0,60,2.0,72.0
MOUNT PLEASANT RD,309,309,,,11.0,27.0,MULHAM PL,5.0,21.0,30.0,30,2.0,34.0
MOUNT PLEASANT RD,323,371,,,11.0,26.0,MULHOLLAND AVE,17.0,93.0,18.0,96,8.0,15.0
MOUNT PLEASANT RD,,,374.0,374,12.0,36.0,MULLET RD,5.0,15.0,2.0,18,18.0,17.0
MOUNT PLEASANT RD,375,529,,,15.0,56.0,MULOCK AVE,1.0,195.0,2.0,192,5.0,61.0
MOUNT PLEASANT RD,,,378.0,394,12.0,34.0,MULVEY AVE,5.0,5.0,2.0,8,2.0,43.0
MOUNT PLEASANT RD,,,508.0,694,12.0,24.0,MUNCEY AVE,5.0,25.0,10.0,20,1.0,47.0
MOUNT PLEASANT RD,535,759,,,15.0,57.0,MUNFORD CRES,1.0,35.0,2.0,56,19.0,10.0
MOUNT PLEASANT RD,,,700.0,722,12.0,23.0,MUNHALL RD,3.0,53.0,2.0,52,2.0,18.0
MOUNT PLEASANT RD,,,730.0,758A,12.0,22.0,MUNHAM GT,17.0,45.0,18.0,50,21.0,21.0
MOUNT PLEASANT RD,,,794.0,820,12.0,18.0,MUNITION ST,11.0,13.0,10.0,16,14.0,51.0
MOUNT PLEASANT RD,801,851,,,15.0,29.0,MUNRO BLVD,17.0,49.0,12.0,42,15.0,9.0
MOUNT PLEASANT RD,,,830.0,890,12.0,19.0,MUNRO BLVD,51.0,169.0,50.0,168,15.0,7.0
MOUNT PLEASANT RD,,,894.0,938,15.0,27.0,MUNRO PARK AVE,1.0,57.0,2.0,48,19.0,63.0
MOUNT PLEASANT RD,909,989,,,15.0,24.0,MUNRO ST,1.0,89.0,40.0,90,14.0,52.0
MOUNT PLEASANT RD,997,1407,,,15.0,21.0,MUNRO ST,129.0,243.0,156.0,242,14.0,32.0
MOUNT PLEASANT RD,,,1000.0,1000,15.0,24.0,MUNSON CRES,1.0,57.0,4.0,54,21.0,20.0
MOUNT PLEASANT RD,,,1006.0,1184,15.0,20.0,MUNSTER AVE,343.0,381.0,334.0,370,3.0,24.0
MOUNT PLEASANT RD,,,1200.0,1400,15.0,19.0,MUNSTER AVE,,,400.0,400,3.0,33.0
MOUNT PLEASANT RD,1501,1655,1512.0,1688,15.0,18.0,MURCHISON CRES,1.0,55.0,4.0,28,1.0,6.0
MOUNT PLEASANT RD,1711,1901,1798.0,1850,15.0,11.0,MURDOCK AVE,1.0,25.0,2.0,28,19.0,23.0
MOUNT ROYAL AVE,7,49,10.0,58,9.0,7.0,MURELLEN CRES,1.0,109.0,2.0,108,16.0,34.0
MOUNTAIN ASH CRT,1,11,2.0,12,2.0,78.0,MURIEL AVE,1.0,107.0,2.0,98,14.0,20.0
MOUNTAIN LION TRL,1,35,28.0,34,25.0,18.0,MURISON BLVD,1.0,225.0,2.0,200,25.0,17.0
MOUNTALAN AVE,5,37,6.0,32,14.0,27.0,MURMOUTH RD,1.0,41.0,4.0,44,22.0,60.0
MOUNTBATTEN RD,3,29,6.0,20,2.0,8.0,MURRAY AVE,3.0,37.0,4.0,36,23.0,51.0
MOUNTJOY AVE,5,99,6.0,24,14.0,27.0,MURRAY GLEN DR,3.0,35.0,,,21.0,27.0
MOUNTJOY AVE,123,131,112.0,160,14.0,26.0,MURRAY GLEN DR,61.0,99.0,60.0,104X,21.0,25.0
MOUNTLAND DR,1,97,2.0,96,24.0,20.0,MURRAY RD,17.0,63.0,10.0,64,6.0,38.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
